1998;8;1;11/2/20;17:08;29.00
1998;8;1;11/2/20;17:13;28.75
2244;6;1;11/2/20;17:18;28.25
2244;6;1;11/2/20;17:23;28.00
1998;8;1;11/2/20;17:28;27.75
2004;5;1;11/2/20;17:33;27.50
1905;3;1;11/2/20;17:38;27.25
1905;3;1;11/2/20;17:43;27.00
1968;5;1;11/2/20;17:48;26.75
1968;5;1;11/2/20;17:53;26.75
2073;7;1;11/2/20;17:58;26.50
2073;7;1;11/2/20;18:03;26.50
2127;10;0;11/2/20;18:08;26.25
2127;10;0;11/2/20;18:13;26.25
2010;2;0;11/2/20;18:18;26.00
2010;2;0;11/2/20;18:23;26.00
2073;10;0;11/2/20;18:28;26.00
2073;10;0;11/2/20;18:33;26.00
2031;16;3;11/2/20;18:38;26.00
2031;16;3;11/2/20;18:43;25.75
2034;4;1;11/2/20;18:48;25.75
2034;4;1;11/2/20;18:53;25.50
1947;5;1;11/2/20;18:58;25.50
1947;5;1;11/2/20;19:03;25.50
2070;11;1;11/2/20;19:09;25.50
2070;11;1;11/2/20;19:14;25.25
1893;4;0;11/2/20;19:19;25.50
1932;4;0;11/2/20;19:24;25.25
1764;11;1;11/2/20;19:29;25.25
1764;11;1;11/2/20;19:34;25.25
1584;6;1;11/2/20;19:39;25.00
1653;7;1;11/2/20;19:44;25.00
1686;8;1;11/2/20;19:49;25.00
1686;8;1;11/2/20;19:54;25.00
1617;11;0;11/2/20;19:59;24.75
1584;11;0;11/2/20;20:04;24.75
1491;4;1;11/2/20;20:09;24.75
1491;4;1;11/2/20;20:14;24.75
1455;8;1;11/2/20;20:19;24.75
1500;6;1;11/2/20;20:24;24.75
1461;2;0;11/2/20;20:29;24.75
1488;3;0;11/2/20;20:34;24.50
1419;3;1;11/2/20;20:39;24.50
1419;3;1;11/2/20;20:44;24.50
1302;5;0;11/2/20;20:49;24.50
1302;5;0;11/2/20;20:54;24.50
1425;6;1;11/2/20;20:59;24.50
1425;6;1;11/2/20;21:04;24.25
1494;8;1;11/2/20;21:09;24.25
1494;8;1;11/2/20;21:14;24.25
1452;2;1;11/2/20;21:19;24.25
1464;2;1;11/2/20;21:24;24.25
1539;6;0;11/2/20;21:29;24.25
1539;6;0;11/2/20;21:34;24.00
1188;5;3;11/2/20;21:39;24.25
1188;5;3;11/2/20;21:44;24.00
1326;1;0;11/2/20;21:49;24.00
1269;2;0;11/2/20;21:54;24.00
1311;2;0;11/2/20;21:59;24.00
1317;3;0;11/2/20;22:04;24.00
1215;1;0;11/2/20;22:09;23.75
1215;1;0;11/2/20;22:14;23.75
1296;7;1;11/2/20;22:19;23.75
1290;7;1;11/2/20;22:24;23.75
1206;2;0;11/2/20;22:29;23.75
1206;2;0;11/2/20;22:34;23.75
1371;1;0;11/2/20;22:39;23.75
1371;1;0;11/2/20;22:44;23.75
1323;1;0;11/2/20;22:49;23.50
1323;1;0;11/2/20;22:54;23.50
1278;4;1;11/2/20;22:59;23.50
1278;4;1;11/2/20;23:04;23.50
1161;7;0;11/2/20;23:09;23.50
1161;7;0;11/2/20;23:14;23.50
1146;8;1;11/2/20;23:19;23.50
1140;9;1;11/2/20;23:24;23.50
1320;8;1;11/2/20;23:29;23.25
1314;9;1;11/2/20;23:34;23.25
1095;7;0;11/2/20;23:39;23.25
1143;7;0;11/2/20;23:44;23.25
1287;9;0;11/2/20;23:49;23.25
1287;9;0;11/2/20;23:54;23.25
1290;3;1;11/2/20;23:59;23.25
1290;3;1;12/2/20;0:04;23.00
1557;6;2;12/2/20;0:09;23.00
1557;6;2;12/2/20;0:14;23.00
1395;5;1;12/2/20;0:19;23.00
1395;5;1;12/2/20;0:24;22.75
1395;6;0;12/2/20;0:29;23.00
1395;6;0;12/2/20;0:34;23.00
1635;9;1;12/2/20;0:39;22.75
1635;9;1;12/2/20;0:44;22.75
1662;2;1;12/2/20;0:49;22.75
1662;2;1;12/2/20;0:54;22.75
1560;5;0;12/2/20;0:59;22.75
1560;5;0;12/2/20;1:04;22.75
1554;15;2;12/2/20;1:09;22.75
1554;15;2;12/2/20;1:14;22.75
1584;8;2;12/2/20;1:19;22.75
1653;8;2;12/2/20;1:24;22.75
1434;9;0;12/2/20;1:29;22.50
1434;9;0;12/2/20;1:34;22.50
1434;10;2;12/2/20;1:39;22.50
1434;10;2;12/2/20;1:44;22.75
1497;1;0;12/2/20;1:49;22.50
1497;1;0;12/2/20;1:54;22.50
1401;10;0;12/2/20;1:59;22.50
1401;10;0;12/2/20;2:04;22.50
1419;3;0;12/2/20;2:09;22.50
1476;4;0;12/2/20;2:14;22.50
1611;11;1;12/2/20;2:19;22.25
1719;11;1;12/2/20;2:24;22.50
1644;15;2;12/2/20;2:29;22.25
1644;15;2;12/2/20;2:34;22.50
1353;5;1;12/2/20;2:39;22.25
1353;5;1;12/2/20;2:44;22.50
1569;13;0;12/2/20;2:49;22.25
1590;13;0;12/2/20;2:54;22.25
1728;13;4;12/2/20;2:59;22.25
1728;13;4;12/2/20;3:04;22.25
1422;9;2;12/2/20;3:09;22.25
1422;9;2;12/2/20;3:14;22.25
1506;10;1;12/2/20;3:19;22.25
1506;10;1;12/2/20;3:24;22.25
1581;7;2;12/2/20;3:29;22.25
1581;7;2;12/2/20;3:34;22.25
1668;3;0;12/2/20;3:39;22.25
1668;3;0;12/2/20;3:44;22.25
1653;10;2;12/2/20;3:49;22.25
1653;10;2;12/2/20;3:54;22.25
1584;12;0;12/2/20;3:59;22.25
1584;12;0;12/2/20;4:04;22.00
1773;9;0;12/2/20;4:09;22.00
1773;9;0;12/2/20;4:14;22.25
1542;5;1;12/2/20;4:20;22.00
1542;5;1;12/2/20;4:25;22.00
1566;10;2;12/2/20;4:30;22.00
1566;10;2;12/2/20;4:35;22.00
1590;9;1;12/2/20;4:40;22.00
1590;9;1;12/2/20;4:45;22.00
1494;11;0;12/2/20;4:50;22.00
1494;11;0;12/2/20;4:55;22.00
1572;13;2;12/2/20;5:00;22.00
1521;11;1;12/2/20;5:05;22.00
1512;6;3;12/2/20;5:10;22.00
1512;6;3;12/2/20;5:15;22.00
1440;7;3;12/2/20;5:20;22.00
1425;7;3;12/2/20;5:25;21.75
1512;6;2;12/2/20;5:30;22.00
1512;6;2;12/2/20;5:35;21.75
1473;12;0;12/2/20;5:40;22.00
1473;12;0;12/2/20;5:45;21.75
1419;7;3;12/2/20;5:50;21.75
1419;7;3;12/2/20;5:55;21.75
1560;5;1;12/2/20;6:00;21.75
1614;6;1;12/2/20;6:05;21.75
1689;13;2;12/2/20;6:10;21.75
1689;13;2;12/2/20;6:15;22.00
1380;2;0;12/2/20;6:20;21.75
1380;2;0;12/2/20;6:25;21.75
1695;9;1;12/2/20;6:30;21.75
1647;10;1;12/2/20;6:35;21.75
1455;8;1;12/2/20;6:40;21.75
1416;9;1;12/2/20;6:45;21.75
1422;4;0;12/2/20;6:50;21.75
1422;4;0;12/2/20;6:55;21.75
1638;6;3;12/2/20;7:00;21.75
1617;5;3;12/2/20;7:05;21.75
